"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","OAK","23.2","0","0","0","0","0","0","0","16.6301","70.7968","0.5717","6.9386","5.797","46.6043","0.2537","0.1961","0.0981","0.0264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Alvin Kamara","NO","rb","6","TB","22","0","0","0","0","0","0","0","13.0502","58.2225","0.7026","6.7154","5.5908","42.8835","0.2629","0.1556","0.0778","0.0372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Michael Thomas","NO","wr","6","TB","23.6","0","0","0","0","0","0","0","0.1262","0.8328","0.0048","10.8856","8.5782","102.1532","0.526","0.0679","0.0339","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Julio Jones","ATL","wr","10","SEA","21.5","0","0","0","0","0","0","0","0.1143","0.7441","0.0042","10.1202","6.7106","104.5133","0.4358","0.0917","0.0459","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Tyreek Hill","KC","wr","10","HST","21.5","0","0","0","0","0","0","0","0.6163","4.3581","0.027","8.6732","6.1148","93.3468","0.6972","0.0337","0.0169","0.0073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Saquon Barkley","NYG","rb","11","PIT","18.8","0","0","0","0","0","0","0","16.4095","70.9374","0.4366","5.2446","4.169","32.5276","0.1702","0.0473","0.0237","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Dalvin Cook","MIN","rb","7","GB","18","0","0","0","0","0","0","0","13.1126","55.1649","0.4987","5.3421","4.3473","35.2138","0.2172","0.1912","0.0956","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","George Kittle","SF","te","11","ARZ","18.5","0","0","0","0","0","0","0","0","0","0","8.663","6.6183","80.2199","0.5034","0.0535","0.0268","0.022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Davante Adams","GB","wr","5","@MIN","19.9","0","0","0","0","0","0","0","0","0","0","11.0822","7.1617","88.2616","0.4691","0.0752","0.0376","0.023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Austin Ekeler","LAC","rb","10","@CIN","17.3","0","0","0","0","0","0","0","11.0694","48.6642","0.4103","5.6221","4.5289","40.6085","0.1671","0.1398","0.0699","0.0054","41.7266","0.0115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
