Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Aaron Rodgers,QB,GNB,429,5,0,31,25,2,6,1,0,0,0,0,0,43.76,43.76,43.76
Matt Schaub,QB,ATL,65,1,0,6,6,1,-1,0,0,0,0,0,0,6.5,6.5,6.5
Mike Glennon,QB,OAK,36,1,0,3,2,0,0,0,0,0,0,0,0,5.44,5.44,5.44
Kirk Cousins,QB,MIN,338,4,0,34,24,4,-3,0,0,0,0,0,0,29.22,29.22,29.22
Jacoby Brissett,QB,IND,326,4,0,39,26,5,6,0,0,0,0,0,1,27.64,27.64,27.64
Patrick Mahomes,QB,KAN,76,1,0,11,10,1,2,0,0,0,0,0,0,7.24,7.24,7.24
Ryan Tannehill,QB,TEN,312,2,1,29,23,5,7,0,0,0,0,0,0,19.18,19.18,19.18
Derek Carr,QB,OAK,293,2,1,28,22,2,0,0,0,0,0,0,1,15.72,15.72,15.72
Johnny Hekker,P,LAR,23,0,0,1,1,0,0,0,0,0,0,0,0,0.92,0.92,0.92
Brett Kern,P,TEN,11,0,0,1,1,0,0,0,0,0,0,0,0,0.44,0.44,0.44
Matthew Stafford,QB,DET,364,4,1,45,30,0,0,0,0,0,0,0,0,28.56,28.56,28.56
Josh Allen,QB,BUF,202,2,0,26,16,4,32,0,0,0,0,0,0,19.28,19.28,19.28
Philip Rivers,QB,LAC,329,2,0,38,24,0,0,0,0,0,0,0,0,21.16,21.16,21.16
Teddy Bridgewater,QB,NOR,281,2,0,38,23,4,7,0,0,0,0,0,0,19.94,19.94,19.94
Dak Prescott,QB,DAL,239,1,1,27,21,5,30,1,0,0,0,0,0,20.56,20.56,20.56
Jared Goff,QB,LAR,268,2,0,37,22,3,3,1,0,0,0,0,0,25.02,25.02,25.02
Case Keenum,QB,WAS,77,0,0,12,9,0,0,0,0,0,0,0,0,3.08,3.08,3.08
Matt Moore,QB,KAN,117,1,0,19,10,1,-1,0,0,0,0,0,0,8.58,8.58,8.58
Ryan Fitzpatrick,QB,MIA,282,1,1,35,23,6,13,1,0,0,0,0,0,20.58,20.58,20.58
Mitchell Trubisky,QB,CHI,251,2,0,54,34,0,0,0,0,0,0,0,0,18.04,18.04,18.04
Gardner Minshew,QB,JAX,255,1,0,32,15,9,48,0,0,0,0,0,0,19,19,19
Deshaun Watson,QB,HOU,308,1,2,34,23,3,32,0,0,0,0,0,0,15.52,15.52,15.52
Carson Wentz,QB,PHI,191,1,1,26,16,4,12,0,0,0,0,0,2,6.84,6.84,6.84
Tom Brady,QB,NWE,249,1,1,45,31,0,0,0,0,0,0,0,0,11.96,11.96,11.96
Joe Flacco,QB,DEN,213,0,0,34,21,0,0,0,0,0,0,0,1,6.52,6.52,6.52
Daniel Jones,QB,NYG,223,1,1,35,22,4,35,0,0,0,0,0,2,10.42,10.42,10.42
Kyler Murray,QB,ARI,104,0,0,21,14,10,28,0,0,0,0,0,0,6.96,6.96,6.96
Lamar Jackson,QB,BAL,143,0,0,20,9,14,116,1,0,0,0,0,0,23.32,23.32,23.32
Russell Wilson,QB,SEA,241,1,1,41,20,3,27,0,0,0,0,0,0,14.34,14.34,14.34
Matt Ryan,QB,ATL,159,0,1,27,16,1,2,0,0,0,0,0,1,2.56,2.56,2.56
Jimmy Garoppolo,QB,SFO,151,0,1,21,12,4,20,0,0,0,0,0,0,6.04,6.04,6.04
Andy Dalton,QB,CIN,276,1,3,43,22,4,33,1,0,0,0,0,0,18.34,18.34,18.34
Zach Pascal,WR,IND,0,0,0,1,0,0,0,0,6,7,106,2,0,28.6,22.6,25.6
