player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35
AJ McCarron,HOU,QB,0.05,19.15,12.5,0.95,1.0,176.0,0.0,0.0,0.0,0.85,0.0,6.2
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0
Adam Shaheen,MIA,TE,1.0,0.0,0.0,0.0,0.0,0.0,20.9,1.8,193.35,0.0,0.0,0.0
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4
Adam Trautman,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,15.35,1.05,146.9,0.0,0.0,0.0
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3
Adrian Peterson,WAS,RB,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,86.0,2.0,331.0
Albert Okwuegbunam,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,94.5,0.0,0.0,0.0
Alec Ingold,LV,RB,0.1,0.0,0.0,0.0,0.0,0.0,6.1,0.2,40.9,4.6,0.3,39.2
Alex Armah,CAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,11.3,10.2,0.8,21.4
Alex Ellis,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,9.9,0.0,0.0,0.0
Alex Erickson,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.4,79.0,0.2,0.0,1.3
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75
Alexander Hollins,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.3,53.2,0.0,0.0,0.0
Alexander Mattison,MIN,RB,1.7,0.0,0.0,0.0,0.0,0.0,8.75,0.2,69.2,141.35,3.1,619.1
Allen Lazard,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,56.0,4.0,769.65,1.5,0.0,20.55
Allen Robinson,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,85.7,6.25,1083.3,1.15,0.05,6.5
Alshon Jeffery,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,35.8,3.1,446.7,0.65,0.65,0.65
Alvin Kamara,NO,RB,2.35,0.0,0.0,0.0,0.0,0.0,89.9,2.45,658.8,205.2,7.95,948.85
Amari Coope,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.05,7.65,1082.5,1.35,0.0,9.35
Ameer Abdullah,MIN,RB,0.1,0.0,0.0,0.0,0.0,0.0,6.5,0.3,65.0,4.7,0.3,43.4
Andre Roberts,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.6,115.5,0.0,0.0,0.0
Andrew Beck,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,14.25,1.55,146.8,0.9,0.0,3.5
Andy Dalton,DAL,QB,0.05,17.65,11.5,0.85,0.9,185.85,0.0,0.0,0.0,3.35,0.0,14.55
Andy Isabella,ARI,WR,0.0,0.0,0.0,0.0,0.0,0.0,19.6,1.8,288.4,2.3,0.1,15.4
Andy Janovich,CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,10.65,1.6,130.15,3.0,0.85,15.6
Anthony Firkse,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,24.4,2.4,315.2,0.0,0.0,0.0
Anthony McFarland,PIT,RB,0.85,0.0,0.0,0.0,0.0,0.0,16.05,0.9,131.65,41.55,1.1,172.2
Anthony Mille,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,57.85,5.4,744.4,2.8,0.05,12.6
Anthony Sherman,KC,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.3,28.5,1.6,0.0,3.4
Antonio Gandy-Golden,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,27.1,1.7,360.5,0.0,0.0,0.0
Antonio Gibson,WAS,RB,2.45,0.0,0.0,0.0,0.0,0.0,47.65,2.0,387.8,155.3,4.2,683.95
Antony Auclai,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8,83.1,0.0,0.0,0.0
Ashton Dulin,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.1,27.3,0.0,0.0,0.0
Auden Tate,CIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,29.9,1.75,418.7,0.0,0.0,0.0
Austin Ekele,LAC,RB,1.65,0.0,0.0,0.0,0.0,0.0,64.1,4.55,669.75,162.7,4.25,718.75
Austin Hoope,CLE,TE,0.75,0.0,0.0,0.0,0.0,0.0,60.55,4.7,683.6,0.0,0.0,0.0
BAL  Robert Griffin,BAL,QB,0.0,19.0,12.0,1.0,1.0,144.0,0.0,0.0,0.0,6.0,0.0,32.0
Baker Mayfield,CLE,QB,2.45,508.75,313.85,14.4,25.4,3893.1,0.0,0.0,0.0,34.55,1.75,152.2
Ben Roethlisberge,PIT,QB,1.65,551.5,357.8,16.2,24.45,3932.4,0.0,0.0,0.0,26.7,1.6,78.0
Bennie Fowle,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,27.6,0.0,0.0,0.0
Benny Snell,PIT,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.35,0.15,44.25,113.65,2.85,458.45
Bisi Johnson,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,459.0,1.0,0.0,7.0
Blaine Gabbert,TB,QB,0.05,17.85,10.5,0.9,1.05,178.55,0.0,0.0,0.0,2.85,0.05,4.5
Blake Bell,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.85,100.9,0.0,0.0,0.0
Blake Jarwin,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.25,4.6,548.5,0.0,0.0,0.0
Bo Scarbrough,DET,RB,0.3,0.0,0.0,0.0,0.0,0.0,3.5,0.1,24.6,7.1,0.5,90.5
Boston Scott,PHI,RB,1.55,0.0,0.0,0.0,0.0,0.0,31.6,0.2,266.75,91.6,4.35,363.8
Brandin Cooks,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.2,4.25,897.0,6.6,0.05,51.85
Brandon Aiyuk,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,44.9,4.05,677.95,2.4,0.05,12.8
Brandon Powell,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,106.8,0.0,0.0,0.0
Brandon Zylstra,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.4,65.0,0.0,0.0,0.0
Braxton Berrios,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.6,95.9,0.0,0.0,0.0
Breshad Perriman,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,44.3,5.05,748.2,3.0,0.0,8.35
Brett Hundley,ARI,QB,0.0,17.25,10.5,0.0,0.75,111.0,0.0,0.0,0.0,3.0,0.0,12.0
Brian Hill,ATL,RB,0.4,0.0,0.0,0.0,0.0,0.0,13.2,0.3,96.3,56.2,1.6,227.4
Brian Hoye,NE,QB,0.0,15.5,9.5,0.0,0.75,100.25,0.0,0.0,0.0,4.0,0.0,3.0
Bryan Edwards,LV,WR,1.5,0.0,0.0,0.0,0.0,0.0,48.85,3.2,679.45,1.55,0.0,8.75
Bryce Love,WAS,RB,1.55,0.0,0.0,0.0,0.0,0.0,16.0,0.75,133.7,104.65,2.55,388.7
Brycen Hopkins,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,125.5,0.0,0.0,0.0
Buddy Howell,HOU,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,26.9,10.5,0.3,34.1
Byron Pringle,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.5,83.1,0.0,0.0,0.0
C.J. Board,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.4,79.4,0.0,0.0,0.0
C.J. Uzomah,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.95,2.9,428.0,0.0,0.0,0.0
CJ Ham,MIN,RB,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.5,88.7,5.3,0.2,24.1
Calvin Ridley,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.3,8.25,1035.25,2.85,0.0,27.0
Cam Akers,LAR,RB,2.45,0.0,0.0,0.0,0.0,0.0,32.75,1.05,295.95,184.2,6.35,699.35
Cam Batson,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.8,0.0,0.0,0.0
Cam Newton,NE,QB,1.7,512.55,309.65,12.65,21.65,3460.1,0.0,0.0,0.0,117.65,3.9,449.3
Cameron Brate,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,24.1,3.0,244.7,0.0,0.0,0.0
Carlos Hyde,SEA,RB,0.95,0.0,0.0,0.0,0.0,0.0,5.95,0.1,32.05,84.6,2.05,340.6
Carson Wentz,PHI,QB,5.6,585.7,382.15,10.65,27.75,4098.7,0.0,0.0,0.0,55.4,1.35,200.1
Case Keenum,CLE,QB,0.0,22.5,14.0,0.85,0.85,169.5,0.0,0.0,0.0,0.85,0.0,1.85
Cedrick Wilson,DAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.3,92.9,0.0,0.0,0.0
CeeDee Lamb,DAL,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.85,4.85,863.55,1.35,0.0,8.65
Cethan Carte,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.2,27.7,0.0,0.0,0.0
Chad Beebe,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.5,110.2,0.0,0.0,0.0
Chad Henne,KC,QB,0.0,15.85,10.5,0.0,0.65,120.85,0.0,0.0,0.0,1.35,0.0,5.0
Chandler Cox,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.5,44.6,15.0,0.0,28.6
Charlie Woerne,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,104.0,0.0,0.0,0.0
Chase Claypool,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.1,2.6,457.2,1.35,0.0,5.35
Chase Daniel,DET,QB,0.0,18.5,11.15,0.85,0.9,177.75,0.0,0.0,0.0,2.85,0.0,12.75
Chase Edmonds,ARI,RB,0.75,0.0,0.0,0.0,0.0,0.0,19.8,0.9,136.45,103.2,3.9,418.25
Chris Carson,SEA,RB,2.7,0.0,0.0,0.0,0.0,0.0,28.1,1.15,212.35,239.75,7.9,1075.95
Chris Conley,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,41.85,3.05,550.9,0.0,0.0,0.0
