fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,player,position,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,team,source,pname_merge
2.2,,,,,,Christian McCaffrey,RB,102.8,4.5,855.7,252.7,8.5,1130.9,CAR,FantasyPros,christianmccaffrey
1.5,,,,,,Saquon Barkley,RB,66.3,2.7,537.4,271.3,9.0,1237.1,NYG,FantasyPros,saquonbarkley
2.6,,,,,,Ezekiel Elliott,RB,60.0,2.6,475.4,288.0,9.6,1279.7,DAL,FantasyPros,ezekielelliott
2.4,,,,,,Derrick Henry,RB,21.5,1.0,184.2,295.5,12.1,1483.4,TEN,FantasyPros,derrickhenry
2.7,,,,,,Dalvin Cook,RB,58.1,1.9,519.4,262.8,9.8,1151.3,MIN,FantasyPros,dalvincook
1.7,,,,,,Alvin Kamara,RB,83.8,2.9,607.6,201.4,7.9,923.7,NO,FantasyPros,alvinkamara
0.5,,,,,,Michael Thomas,WR,129.7,9.1,1544.2,0.3,0.0,0.9,NO,FantasyPros,michaelthomas
2.2,,,,,,Clyde Edwards-Helaire,RB,51.4,3.1,456.9,211.3,8.2,943.4,KC,FantasyPros,clydeedwardshelaire
1.8,,,,,,Joe Mixon,RB,39.9,1.7,308.4,273.9,7.7,1192.9,CIN,FantasyPros,joemixon
2.1,,,,,,Josh Jacobs,RB,29.4,0.8,227.3,271.9,9.3,1232.6,LV,FantasyPros,joshjacobs
2.1,,,,,,Nick Chubb,RB,24.9,1.1,191.5,276.0,8.9,1254.0,CLE,FantasyPros,nickchubb
2.1,,,,,,Miles Sanders,RB,51.8,2.4,464.2,234.8,6.0,1051.0,PHI,FantasyPros,milessanders
1.6,,,,,,Aaron Jones,RB,43.3,2.1,353.5,212.6,9.3,965.8,GB,FantasyPros,aaronjones
0.5,,,,,,Davante Adams,WR,107.3,10.3,1349.3,0.0,0.0,0.0,GB,FantasyPros,davanteadams
1.7,,,,,,Kenyan Drake,RB,54.7,2.2,415.7,209.2,7.4,963.1,ARI,FantasyPros,kenyandrake
1.3,,,,,,Austin Ekele,RB,66.2,4.1,666.5,164.4,4.5,709.5,LAC,FantasyPros,austinekele
0.5,,,,,,Julio Jones,WR,102.3,6.8,1441.5,0.8,0.0,2.1,ATL,FantasyPros,juliojones
2.4,,,,,,Chris Carson,RB,30.2,1.3,235.7,244.5,7.8,1106.9,SEA,FantasyPros,chriscarson
0.5,,,,,,Tyreek Hill,WR,82.2,8.4,1198.0,10.8,0.4,66.2,KC,FantasyPros,tyreekhill
2.4,,,,,,James Conne,RB,43.2,2.1,350.4,228.7,6.6,959.4,PIT,FantasyPros,jamesconne
1.4,,,,,,Todd Gurley,RB,41.2,2.1,317.3,204.9,7.8,870.4,ATL,FantasyPros,toddgurley
1.9,,,,,,David Johnson,RB,42.1,3.0,405.0,216.1,5.2,834.2,HOU,FantasyPros,davidjohnson
0.5,,,,,,Chris Godwin,WR,83.2,7.7,1205.6,1.1,0.1,6.6,TB,FantasyPros,chrisgodwin
1.4,,,,,,Melvin Gordon,RB,42.3,1.6,341.6,202.9,7.0,816.1,DEN,FantasyPros,melvingordon
