,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,LaDainian Tomlinson,3,2,20,2,0,348,1815,28,56,508,3,1,RB,football_db,0,2006
1,Larry Johnson,1,0,0,0,0,416,1789,17,41,410,2,2,RB,football_db,0,2006
2,Steven Jackson,0,0,0,0,0,346,1528,13,90,806,3,2,RB,football_db,0,2006
3,Frank Gore,0,0,0,0,0,312,1695,8,61,485,1,5,RB,football_db,0,2006
4,Willie Parker,0,0,0,0,0,337,1494,13,31,222,3,5,RB,football_db,0,2006
5,Brian Westbrook,0,0,0,0,0,240,1217,7,77,699,4,2,RB,football_db,0,2006
6,Tiki Barber,0,0,0,0,0,327,1662,5,58,465,0,1,RB,football_db,0,2006
7,Maurice Jones-Drew,0,0,0,0,0,166,941,13,46,436,2,1,RB,football_db,0,2006
8,Rudi Johnson,0,0,0,0,0,341,1309,12,23,124,0,2,RB,football_db,0,2006
9,Deuce McAllister,0,0,0,0,0,244,1057,10,30,198,0,1,RB,football_db,0,2006
10,Joseph Addai,0,0,0,0,0,226,1081,7,40,325,1,2,RB,football_db,0,2006
11,Ladell Betts,0,0,0,0,0,245,1154,4,53,445,1,3,RB,football_db,0,2006
12,Chester Taylor,0,0,0,0,0,303,1216,6,42,288,0,3,RB,football_db,0,2006
13,Marion Barber,0,0,0,0,0,135,654,14,23,196,2,0,RB,football_db,0,2006
14,Jamal Lewis,0,0,0,0,0,314,1132,9,18,115,0,2,RB,football_db,0,2006
15,Ahman Green,0,0,0,0,0,266,1059,5,46,373,1,2,RB,football_db,0,2006
16,Fred Taylor,0,0,0,0,0,231,1146,5,23,242,1,2,RB,football_db,0,2006
17,Thomas Jones,1,1,-4,0,0,296,1210,6,36,154,0,1,RB,football_db,0,2006
18,Travis Henry,0,0,0,0,0,270,1211,7,18,78,0,1,RB,football_db,0,2006
19,Corey Dillon,0,0,0,0,0,199,812,13,15,147,0,2,RB,football_db,0,2006
20,Reggie Bush,1,0,0,0,1,155,565,6,88,742,2,2,RB,football_db,0,2006
21,Edgerrin James,0,0,0,0,0,337,1159,6,38,217,0,3,RB,football_db,0,2006
22,Kevin Jones,0,0,0,0,0,181,689,6,61,520,2,5,RB,football_db,0,2006
23,Warrick Dunn,0,0,0,0,0,286,1140,4,22,170,1,0,RB,football_db,0,2006
24,Ronnie Brown,1,0,0,0,0,241,1008,5,33,276,0,2,RB,football_db,0,2006
25,Willis McGahee,0,0,0,0,0,259,990,6,18,156,0,2,RB,football_db,0,2006
26,Julius Jones,0,0,0,0,0,267,1084,4,9,142,0,1,RB,football_db,0,2006
27,Shaun Alexander,0,0,0,0,0,252,896,7,12,48,0,3,RB,football_db,0,2006
28,Laurence Maroney,0,0,0,0,0,175,745,6,22,194,1,1,RB,football_db,0,2006
29,Mike Bell,0,0,0,0,0,157,677,8,20,158,0,0,RB,football_db,0,2006
30,DeShaun Foster,0,0,0,0,0,227,897,3,32,159,0,2,RB,football_db,0,2006
31,Tatum Bell,0,0,0,0,0,233,1025,2,24,115,0,5,RB,football_db,0,2006
32,Dominic Rhodes,0,0,0,0,0,187,641,5,36,251,0,3,RB,football_db,0,2006
33,Reuben Droughns,0,0,0,0,0,220,758,4,27,169,0,4,RB,football_db,0,2006
34,Clinton Portis,0,0,0,0,0,127,523,7,17,170,0,0,RB,football_db,0,2006
35,Leon Washington,0,0,0,0,0,151,650,4,25,270,0,1,RB,football_db,0,2006
36,Brandon Jacobs,0,0,0,0,0,96,423,9,11,149,0,1,RB,football_db,0,2006
37,Cedric Benson,0,0,0,0,0,157,647,6,8,54,0,0,RB,football_db,0,2006
38,Carnell Williams,0,0,0,0,0,225,798,1,30,196,0,3,RB,football_db,0,2006
39,Ron Dayne,0,0,0,0,0,151,612,5,14,77,0,0,RB,football_db,0,2006
40,DeAngelo Williams,0,0,0,0,0,121,501,1,33,313,1,0,RB,football_db,0,2006
41,Wali Lundy,0,0,0,0,0,124,476,4,33,204,0,1,RB,football_db,0,2006
42,Jerious Norwood,1,0,0,0,0,99,633,2,12,102,0,0,RB,football_db,0,2006
43,Justin Fargas,0,0,0,0,0,178,659,1,13,91,0,0,RB,football_db,0,2006
44,Kevan Barlow,0,0,0,0,0,131,370,6,7,21,0,0,RB,football_db,0,2006
45,Cedric Houston,0,0,0,0,0,113,374,5,7,43,0,0,RB,football_db,0,2006
46,Correll Buckhalter,0,0,0,0,0,83,345,2,24,256,1,1,RB,football_db,0,2006
47,Mewelde Moore,1,1,15,1,0,24,131,0,46,468,1,1,RB,football_db,0,2006
48,Michael Turner,0,0,0,0,0,80,502,2,3,47,0,0,RB,football_db,0,2006
49,Michael Pittman,0,0,0,0,0,50,245,1,47,405,0,1,RB,football_db,0,2006
50,LaMont Jordan,0,0,0,0,0,114,434,2,10,74,0,1,RB,football_db,0,2006
51,Vernand Morency,0,0,0,0,0,96,434,2,17,118,0,1,RB,football_db,0,2006
52,Kevin Faulk,0,0,0,0,0,25,123,1,43,356,2,1,RB,football_db,0,2006
53,Anthony Thomas,0,0,0,0,0,107,378,2,22,139,0,1,RB,football_db,0,2006
54,Sammy Morris,0,0,0,0,0,92,400,1,21,162,0,2,RB,football_db,0,2006
55,Maurice Morris,0,0,0,0,0,161,604,0,11,46,0,1,RB,football_db,0,2006
56,Noah Herron,0,0,0,0,0,37,150,1,29,211,2,2,RB,football_db,0,2006
57,Najeh Davenport,0,0,0,0,0,60,221,1,15,193,1,0,RB,football_db,0,2006
58,Justin Griffith,0,0,0,0,0,19,106,1,23,168,3,1,RB,football_db,0,2006
59,Mike Alstott,0,0,0,0,0,60,171,3,21,85,0,1,RB,football_db,0,2006
60,Artose Pinner,0,0,0,0,0,43,190,3,2,15,0,1,RB,football_db,0,2006
61,Kenny Watson,0,0,0,0,0,25,138,1,23,213,0,0,RB,football_db,0,2006
62,Marcel Shipp,0,0,0,0,0,17,41,4,6,60,0,0,RB,football_db,0,2006
63,Ovie Mughelli,0,0,0,0,0,12,50,0,21,182,2,1,RB,football_db,0,2006
64,Arlen Harris,0,0,0,0,0,49,158,1,18,132,0,0,RB,football_db,0,2006
65,Samkon Gado,0,0,0,0,0,56,210,1,17,85,0,0,RB,football_db,0,2006
66,ReShard Lee,0,0,0,0,0,21,72,2,20,138,0,1,RB,football_db,0,2006
67,Mack Strong,0,0,0,0,0,33,149,1,29,159,0,2,RB,football_db,0,2006
68,Mike Karney,0,0,0,0,0,11,33,1,15,96,2,0,RB,football_db,0,2006
69,Stephen Davis,0,0,0,0,0,40,177,0,12,90,1,1,RB,football_db,0,2006
70,Michael Bennett,0,0,0,0,0,36,200,0,9,77,0,0,RB,football_db,0,2006
71,Mike Anderson,0,0,0,0,0,39,183,1,9,54,0,0,RB,football_db,0,2006
72,Jason Wright,0,0,0,0,0,62,189,0,6,82,0,1,RB,football_db,0,2006
73,Michael Robinson,1,0,0,0,0,38,116,2,9,47,0,0,RB,football_db,0,2006
74,T.J. Duckett,0,0,0,0,0,38,132,2,2,16,0,0,RB,football_db,0,2006
75,LenDale White,0,0,0,0,0,61,244,0,14,60,0,0,RB,football_db,0,2006
76,Adrian Peterson,0,0,0,0,0,10,41,2,6,88,0,0,RB,football_db,0,2006
77,Chris Taylor,0,0,0,0,0,28,123,1,3,40,0,0,RB,football_db,0,2006
78,Lorenzo Neal,0,0,0,0,0,29,140,1,17,83,0,0,RB,football_db,0,2006
79,Maurice Hicks,0,0,0,0,0,29,82,0,13,137,1,2,RB,football_db,0,2006
80,Musa Smith,0,0,0,0,0,36,153,0,22,135,0,1,RB,football_db,0,2006
81,Nick Goings,0,0,0,0,0,11,52,0,10,107,1,0,RB,football_db,0,2006
82,Aaron Stecker,0,0,0,0,0,4,11,0,19,190,0,0,RB,football_db,0,2006
83,Brad Hoover,0,0,0,0,0,22,73,1,20,122,0,2,RB,football_db,0,2006
84,Ciatrick Fason,0,0,0,0,0,18,99,1,3,19,0,0,RB,football_db,0,2006
85,Moran Norris,0,0,0,0,0,2,8,0,5,36,2,0,RB,football_db,0,2006
86,Heath Evans,0,0,0,0,0,27,117,0,7,34,1,0,RB,football_db,0,2006
87,Mike Sellers,0,0,0,0,0,12,51,0,18,105,1,0,RB,football_db,0,2006
88,Tony Fisher,0,0,0,0,0,6,9,0,14,159,0,0,RB,football_db,0,2006
89,Shawn Bryson,0,0,0,0,0,2,1,0,8,98,1,0,RB,football_db,0,2006
90,Alvin Pearman,0,0,0,0,0,19,89,1,2,12,0,1,RB,football_db,0,2006
91,Zack Crockett,0,0,0,0,0,39,163,0,10,53,0,2,RB,football_db,0,2006
92,Chris Brown,0,0,0,0,0,41,156,0,2,4,0,0,RB,football_db,0,2006
93,Verron Haynes,0,0,0,0,0,15,78,0,18,95,0,1,RB,football_db,0,2006
94,Jason McKie,0,0,0,0,0,8,18,0,25,162,0,0,RB,football_db,0,2006
95,Vonta Leach,0,0,0,0,0,0,0,0,6,61,1,0,RB,football_db,0,2006
96,Obafemi Ayanbadejo,0,0,0,0,0,9,37,0,17,139,0,0,RB,football_db,0,2006
97,Thomas Tapeh,0,0,0,0,0,5,9,0,16,85,1,0,RB,football_db,0,2006
98,Jeremi Johnson,0,0,0,0,0,15,56,1,6,37,0,0,RB,football_db,0,2006
99,Tony Richardson,0,0,0,0,0,5,12,0,13,111,0,0,RB,football_db,0,2006
0,Marvin Harrison,0,0,0,0,0,0,0,0,95,1366,12,1,WR,football_db,0,2006
1,Terrell Owens,0,0,0,0,0,0,0,0,85,1180,13,0,WR,football_db,0,2006
2,Reggie Wayne,0,0,0,0,0,0,0,0,86,1310,9,0,WR,football_db,0,2006
3,Chad Johnson,0,0,0,0,0,6,24,0,87,1369,7,1,WR,football_db,0,2006
4,Torry Holt,0,0,0,0,0,0,0,0,93,1188,10,1,WR,football_db,0,2006
5,Donald Driver,0,0,0,0,0,7,16,0,92,1295,8,0,WR,football_db,0,2006
6,Steve Smith,0,0,0,0,0,8,61,1,83,1166,8,0,WR,football_db,0,2006
7,Lee Evans,1,0,0,0,0,0,0,0,82,1292,8,1,WR,football_db,0,2006
8,Javon Walker,0,0,0,0,0,9,123,1,69,1084,8,0,WR,football_db,0,2006
9,Roy Williams,0,0,0,0,0,2,2,0,82,1310,7,2,WR,football_db,0,2006
10,T.J. Houshmandzadeh,0,0,0,0,0,3,6,0,90,1081,9,0,WR,football_db,0,2006
11,Plaxico Burress,0,0,0,0,0,0,0,0,63,988,10,1,WR,football_db,0,2006
12,Darrell Jackson,0,0,0,0,0,0,0,0,63,956,10,0,WR,football_db,0,2006
13,Marques Colston,0,0,0,0,0,0,0,0,70,1038,8,0,WR,football_db,0,2006
14,Joey Galloway,0,0,0,0,0,2,9,0,62,1057,7,0,WR,football_db,0,2006
15,Laveranues Coles,0,0,0,0,0,2,14,0,91,1098,6,0,WR,football_db,0,2006
16,Anquan Boldin,0,0,0,0,0,5,28,0,83,1203,4,0,WR,football_db,0,2006
17,Andre Johnson,0,0,0,0,0,3,14,0,103,1147,5,0,WR,football_db,0,2006
18,Terry Glenn,0,0,0,0,0,3,11,0,70,1047,6,0,WR,football_db,0,2006
19,Mike Furrey,0,0,0,0,0,0,0,0,98,1086,6,1,WR,football_db,0,2006
20,Reggie Brown,0,0,0,0,0,3,24,1,46,816,8,0,WR,football_db,0,2006
21,Hines Ward,0,0,0,0,0,2,30,0,74,975,6,1,WR,football_db,0,2006
22,Larry Fitzgerald,0,0,0,0,0,0,0,0,69,946,6,0,WR,football_db,0,2006
23,Jerricho Cotchery,0,0,0,0,0,5,25,0,82,961,6,0,WR,football_db,0,2006
24,Isaac Bruce,1,0,0,0,0,0,0,0,74,1098,3,0,WR,football_db,0,2006
25,Santana Moss,0,0,0,0,0,7,82,0,55,790,6,0,WR,football_db,0,2006
26,Braylon Edwards,0,0,0,0,0,3,7,0,61,884,6,0,WR,football_db,0,2006
27,Mark Clayton,1,0,0,0,0,7,-30,0,67,939,5,0,WR,football_db,0,2006
28,Chris Henry,0,0,0,0,0,0,0,0,36,605,9,0,WR,football_db,0,2006
29,Marty Booker,0,0,0,0,0,3,19,0,55,747,6,0,WR,football_db,0,2006
30,Muhsin Muhammad,0,0,0,0,0,0,0,0,60,863,5,1,WR,football_db,0,2006
31,Devery Henderson,0,0,0,0,0,2,14,1,32,745,5,0,WR,football_db,0,2006
32,Eddie Kennison,0,0,0,0,0,4,16,0,53,860,5,0,WR,football_db,0,2006
33,Bernard Berrian,0,0,0,0,0,2,5,0,51,775,6,1,WR,football_db,0,2006
34,Keyshawn Johnson,1,0,0,0,1,1,4,1,70,815,4,1,WR,football_db,0,2006
35,Donte' Stallworth,0,0,0,0,0,0,0,0,38,725,5,0,WR,football_db,0,2006
36,Reche Caldwell,0,0,0,0,0,1,5,0,61,760,4,2,WR,football_db,0,2006
37,Deion Branch,0,0,0,0,0,4,30,0,53,725,4,0,WR,football_db,0,2006
38,Bryant Johnson,0,0,0,0,0,1,-3,0,40,740,4,1,WR,football_db,0,2006
39,Joe Horn,1,0,0,0,0,0,0,0,37,679,4,0,WR,football_db,0,2006
40,Chris Chambers,0,0,0,0,0,8,95,0,59,677,4,0,WR,football_db,0,2006
41,Drew Bennett,0,0,0,0,0,0,0,0,46,737,3,1,WR,football_db,0,2006
42,Santonio Holmes,0,0,0,0,0,1,13,0,49,824,2,2,WR,football_db,0,2006
43,Antonio Bryant,0,0,0,0,0,0,0,0,40,733,3,0,WR,football_db,0,2006
44,Derrick Mason,0,0,0,0,0,1,-4,0,68,750,2,0,WR,football_db,0,2006
45,Reggie Williams,0,0,0,0,0,7,33,0,52,616,4,0,WR,football_db,0,2006
46,Matt Jones,0,0,0,0,0,2,-15,0,41,643,4,1,WR,football_db,0,2006
47,D.J. Hackett,0,0,0,0,0,0,0,0,45,610,4,0,WR,football_db,0,2006
48,Nate Washington,0,0,0,0,0,3,8,0,35,624,4,0,WR,football_db,0,2006
49,Michael Jenkins,0,0,0,0,0,1,2,0,39,436,7,0,WR,football_db,0,2006
50,Vincent Jackson,0,0,0,0,0,3,16,0,27,453,6,0,WR,football_db,0,2006
51,Arnaz Battle,1,0,0,0,0,5,25,0,59,686,3,2,WR,football_db,0,2006
52,Greg Jennings,0,0,0,0,0,0,0,0,45,632,3,0,WR,football_db,0,2006
53,Travis Taylor,0,0,0,0,0,1,5,0,57,651,3,2,WR,football_db,0,2006
54,Ronald Curry,2,0,0,0,1,1,4,0,62,727,1,0,WR,football_db,0,2006
55,Patrick Crayton,0,0,0,0,0,0,0,0,36,516,4,0,WR,football_db,0,2006
56,Randy Moss,0,0,0,0,0,0,0,0,42,553,3,0,WR,football_db,0,2006
57,Wes Welker,0,0,0,0,0,0,0,0,67,687,1,1,WR,football_db,0,2006
58,Kevin Curtis,0,0,0,0,0,4,4,0,40,479,4,1,WR,football_db,0,2006
59,Antwaan Randle El,3,2,88,1,0,19,118,0,32,351,3,1,WR,football_db,0,2006
60,Joe Jurevicius,0,0,0,0,0,0,0,0,40,495,3,0,WR,football_db,0,2006
61,Rod Smith,0,0,0,0,0,1,-5,0,52,512,3,1,WR,football_db,0,2006
62,Troy Brown,0,0,0,0,0,2,18,0,43,384,4,0,WR,football_db,0,2006
63,Ernest Wilford,0,0,0,0,0,0,0,0,36,524,2,1,WR,football_db,0,2006
64,Marcus Robinson,0,0,0,0,0,0,0,0,29,381,4,0,WR,football_db,0,2006
65,Eric Parker,0,0,0,0,0,2,19,0,48,659,0,0,WR,football_db,0,2006
66,Brandon Jones,0,0,0,0,0,1,3,0,27,384,4,0,WR,football_db,0,2006
67,Doug Gabriel,0,0,0,0,0,0,0,0,30,428,3,1,WR,football_db,0,2006
68,Samie Parker,0,0,0,0,0,3,7,0,41,561,1,0,WR,football_db,0,2006
69,Eric Moulds,0,0,0,0,0,1,6,0,57,557,1,0,WR,football_db,0,2006
70,Hank Baskett,1,0,0,0,1,0,0,0,22,464,2,0,WR,football_db,0,2006
71,Bobby Wade,0,0,0,0,0,0,0,0,33,461,2,0,WR,football_db,0,2006
72,Josh Reed,0,0,0,0,0,4,13,0,34,410,2,0,WR,football_db,0,2006
73,Drew Carter,0,0,0,0,0,2,18,0,28,357,3,0,WR,football_db,0,2006
