,player,team,position,pass_yds,pass_tds,pass_int,pass_att,pass_comp,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,source,pname_merge
0,Tarvaris Jackson,SEA,QB,129.0,1.0,0.0,8.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,nfl_hist,tarvarisjackson
1,Darren McFadden,OAK,RB,16.0,1.0,0.0,1.0,1.0,12.0,9.0,1.0,0.0,0.0,0.0,nfl_hist,darrenmcfadden
2,Spencer Lanning,CLE,P,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,spencerlanning
3,Tony Romo,DAL,QB,210.0,3.0,0.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,tonyromo
4,Peyton Manning,DEN,QB,374.0,3.0,0.0,37.0,32.0,3.0,-2.0,0.0,0.0,0.0,0.0,nfl_hist,peytonmanning
5,Russell Wilson,SEA,QB,202.0,4.0,1.0,21.0,14.0,2.0,14.0,0.0,0.0,0.0,0.0,nfl_hist,russellwilson
6,Philip Rivers,SDG,QB,184.0,1.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,nfl_hist,philiprivers
7,Terrelle Pryo,OAK,QB,281.0,1.0,0.0,28.0,19.0,4.0,36.0,0.0,0.0,0.0,0.0,nfl_hist,terrellepryo
8,Andy Dalton,CIN,QB,235.0,2.0,1.0,28.0,20.0,4.0,3.0,0.0,0.0,0.0,0.0,nfl_hist,andydalton
9,Cam Newton,CAR,QB,223.0,3.0,1.0,27.0,15.0,7.0,45.0,1.0,0.0,0.0,0.0,nfl_hist,camnewton
10,Drew Brees,NOR,QB,342.0,3.0,1.0,46.0,29.0,6.0,21.0,1.0,0.0,0.0,0.0,nfl_hist,drewbrees
11,Jake Locke,TEN,QB,299.0,1.0,0.0,37.0,23.0,5.0,68.0,1.0,0.0,0.0,0.0,nfl_hist,jakelocke
