,player,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,rcv_rec,rcv_yds,rcv_tds,fumble_lost,position,source,nfl_week,year
0,Dalvin Cook,0,0,0,0,0,22,206,2,2,46,0,0,RB,football_db,9,2020
1,Christian McCaffrey,0,0,0,0,0,18,69,1,10,82,1,0,RB,football_db,9,2020
2,James Robinson,0,0,0,0,0,25,99,1,0,0,0,0,RB,football_db,9,2020
3,Kalen Ballage,0,0,0,0,0,15,69,1,2,15,0,0,RB,football_db,9,2020
4,Jerick McKinnon,0,0,0,0,0,12,52,1,3,16,0,0,RB,football_db,9,2020
5,Duke Johnson,0,0,0,0,0,16,41,1,4,32,0,1,RB,football_db,9,2020
6,Josh Jacobs,0,0,0,0,0,14,65,1,1,3,0,0,RB,football_db,9,2020
7,Wayne Gallman,0,0,0,0,0,14,68,1,1,9,0,0,RB,football_db,9,2020
8,Rex Burkhead,0,0,0,0,0,12,56,1,3,11,0,0,RB,football_db,9,2020
9,Devontae Booker,0,0,0,0,0,8,68,1,0,0,0,0,RB,football_db,9,2020
10,Todd Gurley,0,0,0,0,0,19,53,1,2,2,0,0,RB,football_db,9,2020
11,Zack Moss,0,0,0,0,0,9,18,1,2,30,0,0,RB,football_db,9,2020
12,Alvin Kamara,0,0,0,0,0,9,40,1,5,9,0,0,RB,football_db,9,2020
13,Antonio Gibson,0,0,0,0,0,6,20,1,3,35,0,1,RB,football_db,9,2020
14,D'Andre Swift,0,0,0,0,0,13,64,0,3,33,0,0,RB,football_db,9,2020
15,Ryan Nall,0,0,0,0,0,0,0,0,4,35,1,0,RB,football_db,9,2020
16,Clyde Edwards-Helaire,0,0,0,0,0,5,14,0,3,20,1,0,RB,football_db,9,2020
17,DeeJay Dallas,0,0,0,0,0,7,31,1,2,8,0,0,RB,football_db,9,2020
18,Gus Edwards,0,0,0,0,0,11,23,1,2,11,0,1,RB,football_db,9,2020
19,Chase Edmonds,0,0,0,0,0,25,70,0,3,18,0,0,RB,football_db,9,2020
20,Ameer Abdullah,0,0,0,0,0,0,0,0,1,22,1,0,RB,football_db,9,2020
21,Jonathan Taylor,0,0,0,0,0,6,27,1,2,7,0,1,RB,football_db,9,2020
22,J.D. McKissic,0,0,0,0,0,3,17,0,9,65,0,0,RB,football_db,9,2020
23,Aaron Jones,0,0,0,0,0,15,58,0,5,21,0,0,RB,football_db,9,2020
24,Jordan Howard,0,0,0,0,0,10,19,1,0,0,0,0,RB,football_db,9,2020
