player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8,186.78,70.0,19.0,True,1.3313271003256684,1.2664788231012623,1.2257514109463186,1.201930501930502,1.3659999268658352,1.4065818209202499,0.013313271003256685,0.7179957247564259
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5,77.74,219.0,61.0,True,0.5677735302201236,0.5271231593740878,0.5101719385746161,0.5002574002574002,0.6019357336430506,0.58543565027487,0.0074707043450016235,0.09253621475343965
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35,167.13,88.0,34.0,True,1.1912661863016862,1.1332402061511615,1.09679747998425,1.0754826254826255,1.2222912933777013,1.258603810527901,0.011912661863016863,0.5302798866112458
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9,213.29,47.0,13.0,True,1.55776197916967,1.4462322956380138,1.399724373277333,1.3725225225225224,1.6514905149051489,1.6062203479177646,0.020496868146969337,0.6898225827841298
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95,280.21,15.0,12.0,True,1.2467727779860356,1.8999894582996288,1.8388896180601129,1.803153153153153,1.1089081483240333,2.1101739588824455,0.031169319449650883,0.579918864774253
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0,83.1,203.0,85.0,True,0.5923186745747031,0.5634671281706547,0.5453471584197401,0.5347490347490347,0.6077449080337879,0.6258001355523758,0.0059231867457470305,0.08453121647715067
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4,194.24,58.0,13.0,True,1.3845003531815925,1.317062033403947,1.2747079669247934,1.24993564993565,1.4205580136760887,1.46276075005648,0.013845003531815926,0.7995931462100515
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3,59.33,259.0,73.0,True,0.43331622778440865,0.40229247550379,0.38935555847224046,0.38178893178893175,0.45938830816879594,0.4467956924467203,0.005701529312952745,0.015417096707854183
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75,19.04,384.0,39.0,True,0.0847170111446919,0.12910245632213316,0.12495078094238089,0.1225225225225225,0.07534924215441846,0.14338429098576697,0.0021179252786172973,0.002012251485829175
Alexander Mattison,MIN,RB,1.7,0.0,0.0,0.0,0.0,0.0,8.75,0.2,69.2,141.35,3.1,619.1,89.6,187.0,53.0,True,0.6543929548202092,0.6075409709276854,0.5880036750229689,0.5765765765765766,0.6937669376693766,0.6747496046389034,0.008610433616055383,0.15623612576614576
Allen Lazard,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,56.0,4.0,769.65,1.5,0.0,20.55,129.52,135.0,56.0,True,0.9231903096379729,0.8782221713677884,0.8499803123769525,0.8334620334620335,0.9472337002230592,0.9753746517057007,0.00923190309637973,0.3047390483413295
Allen Robinson,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,85.7,6.25,1083.3,1.15,0.05,6.5,188.13,68.0,18.0,True,1.3409496058693007,1.275632621212338,1.2346108413177583,1.2106177606177606,1.3758730390902107,1.416748249115144,0.013409496058693009,0.7313089957596826
Alshon Jeffery,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,35.8,3.1,446.7,0.65,0.65,0.65,85.14,196.0,82.0,True,0.6068593496184143,0.577299534205169,0.5587347420921381,0.5478764478764478,0.6226642776172888,0.6411627381579937,0.006068593496184142,0.102557376862222
Alvin Kamara,NO,RB,2.35,0.0,0.0,0.0,0.0,0.0,89.9,2.45,658.8,205.2,7.95,948.85,263.42,22.0,4.0,True,1.923886073200218,1.786143332162622,1.7287045544034652,1.6951093951093952,2.0396438250096787,1.983733714888169,0.02531429043684497,0.887957693556974
Amari Coope,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.05,7.65,1082.5,1.35,0.0,9.35,191.11,65.0,17.0,True,1.3621903958841337,1.2958387829686382,1.2541672135450848,1.2297940797940798,1.3976670201484622,1.439189698019429,0.013621903958841339,0.7447184918183756
Anthony Mille,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,57.85,5.4,744.4,2.8,0.05,12.6,135.82,123.0,52.0,True,0.9680953355082572,0.9209398958861411,0.8913243207770049,0.874002574002574,0.993308223936812,1.0228179832818733,0.009680953355082572,0.3422996077581629
Antonio Gibson,WAS,RB,2.45,0.0,0.0,0.0,0.0,0.0,47.65,2.0,387.8,155.3,4.2,683.95,163.3,90.0,22.0,True,1.1926603741310289,1.1072705418804805,1.0716629478934245,1.050836550836551,1.264421215640728,1.2297612772046087,0.015692899659618797,0.5283980941727737
Austin Ekele,LAC,RB,1.65,0.0,0.0,0.0,0.0,0.0,64.1,4.55,669.75,162.7,4.25,718.75,220.4,44.0,11.0,True,1.6096898129729256,1.4944422990230122,1.4463840399002494,1.4182754182754183,1.7065427797135113,1.659763536410874,0.021180129118064807,0.7308912759778512
Austin Hoope,CLE,TE,0.75,0.0,0.0,0.0,0.0,0.0,60.55,4.7,683.6,0.0,0.0,0.0,125.34,142.0,11.0,True,1.1580625043309543,0.8498793001794208,0.8225488909305684,0.8065637065637066,1.1795040700136452,0.9438963777392875,0.028951562608273862,0.609389508696556
Baker Mayfield,CLE,QB,2.45,508.75,313.85,14.4,25.4,3893.1,0.0,0.0,0.0,34.55,1.75,152.2,263.74,21.0,17.0,True,1.1734907835767356,1.7883131213445065,1.730804567528547,1.6971685971685972,1.0437294708931892,1.9861435349047365,0.02933726958941838,0.4305172565303623
Ben Roethlisberge,PIT,QB,1.65,551.5,357.8,16.2,24.45,3932.4,0.0,0.0,0.0,26.7,1.6,78.0,253.0,27.0,20.0,True,1.1257039821222192,1.715489571927505,1.6603228770179814,1.628056628056628,1.0012267996359174,1.9052639505986895,0.028142599553055474,0.34417286897673294
Benny Snell,PIT,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.35,0.15,44.25,113.65,2.85,458.45,68.94,235.5,66.0,True,0.5035027935859958,0.4674539568722616,0.45242157763486024,0.4436293436293436,0.5337979094076655,0.5191655998192634,0.006625036757710471,0.05760437748294711
Bisi Johnson,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,459.0,1.0,0.0,7.0,98.1,179.0,76.0,True,0.6992354028372848,0.6651759960714949,0.6437852736579603,0.6312741312741312,0.7174461549712947,0.738760448828978,0.0069923540283728484,0.14062115768007788
Blake Jarwin,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.25,4.6,548.5,0.0,0.0,0.0,106.07,171.0,21.0,True,0.9800198646432449,0.719217307882808,0.6960887255545347,0.6825611325611325,0.9981649649461253,0.7987800286166126,0.024500496616081124,0.34915113297761746
Boston Scott,PHI,RB,1.55,0.0,0.0,0.0,0.0,0.0,31.6,0.2,266.75,91.6,4.35,363.8,103.06,175.0,46.0,True,0.7526979678992274,0.6988077283907062,0.6763354770967319,0.6631917631917632,0.7979868370112272,0.7761126590857744,0.00990392063025299,0.21926911256796544
Brandin Cooks,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.2,4.25,897.0,6.6,0.05,51.85,150.28,105.0,40.0,True,1.071163061553386,1.0189872445425512,0.9862186638666492,0.967052767052767,1.0990602259845685,1.131711725280518,0.010711630615533861,0.4638589383453996
Brandon Aiyuk,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,44.9,4.05,677.95,2.4,0.05,12.8,114.62,156.0,66.0,True,0.8169863595638083,0.7771913625862871,0.7521984512403203,0.7375804375804376,0.8382637949318024,0.8631674071842759,0.008169863595638083,0.21723412126210184
Breshad Perriman,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,44.3,5.05,748.2,3.0,0.0,8.35,128.11,137.0,57.0,True,0.9131401371812903,0.8686615377851094,0.8407271295445597,0.8243886743886745,0.9369217830109335,0.9647563822577001,0.009131401371812902,0.2956076469695166
Bryan Edwards,LV,WR,1.5,0.0,0.0,0.0,0.0,0.0,48.85,3.2,679.45,1.55,0.0,8.75,109.44,164.0,71.0,True,0.7800644494037967,0.7420679002045302,0.7182044887780549,0.7042471042471042,0.8003802976560499,0.8241584456660892,0.0078006444940379675,0.17744256611552256
Bryce Love,WAS,RB,1.55,0.0,0.0,0.0,0.0,0.0,16.0,0.75,133.7,104.65,2.55,388.7,76.94,224.0,62.0,True,0.5619307359806573,0.5216986864193763,0.504921905761911,0.49510939510939506,0.5957413859852884,0.5794111002334512,0.007393825473429701,0.08514238928000994
C.J. Uzomah,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.95,2.9,428.0,0.0,0.0,0.0,82.18,207.0,29.0,True,0.7592913404014507,0.5572289842727366,0.5393096206851293,0.5288288288288289,0.7733496447560346,0.6188719030047443,0.01898228351003627,0.18175917584828927
Calvin Ridley,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.3,8.25,1035.25,2.85,0.0,27.0,193.88,59.0,14.0,True,1.3819343517032905,1.3146210205743267,1.272345452159076,1.2476190476190476,1.4179251837495885,1.4600497025378414,0.013819343517032906,0.7857738026930186
Cam Akers,LAR,RB,2.45,0.0,0.0,0.0,0.0,0.0,32.75,1.05,295.95,184.2,6.35,699.35,155.4,100.0,25.0,True,1.1349627810163005,1.0537038714527047,1.0198188738679617,1.0,1.203252032520325,1.170268845545598,0.014933720802846056,0.4832951821933157
Cam Newton,NE,QB,1.7,512.55,309.65,12.65,21.65,3460.1,0.0,0.0,0.0,117.65,3.9,449.3,277.28,16.0,13.0,True,1.2337359690231182,1.880122326102998,1.8196613728835804,1.7842985842985841,1.0973129130555226,2.088109044355749,0.03084339922557795,0.549075465548675
Carlos Hyde,SEA,RB,0.95,0.0,0.0,0.0,0.0,0.0,5.95,0.1,32.05,84.6,2.05,340.6,51.24,271.0,75.0,True,0.3742309710378072,0.34743749274927016,0.3362646016537604,0.32972972972972975,0.3967479674796748,0.3858724301528729,0.004924091724181673,0.004864510598713179
Carson Wentz,PHI,QB,5.6,585.7,382.15,10.65,27.75,4098.7,0.0,0.0,0.0,55.4,1.35,200.1,281.21,13.0,11.0,True,1.2512222008402736,1.9067700494930182,1.8454521590759942,1.8095881595881593,1.1128655665044125,2.117704646434219,0.03128055502100684,0.6110881842239039
CeeDee Lamb,DAL,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.85,4.85,863.55,1.35,0.0,8.65,140.74,116.0,47.0,True,1.0031640223783842,0.9543004045576168,0.9236120225751412,0.9056628056628057,1.0292902329323144,1.059868966036599,0.010031640223783842,0.3912510754040919
Chase Claypool,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.1,2.6,457.2,1.35,0.0,5.35,77.4,222.0,97.0,True,0.5516903178349221,0.5248177583683356,0.5079406746292164,0.4980694980694981,0.5660584341975353,0.582875216507267,0.005516903178349221,0.016298386056348035
