player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8,217.06,67.0,20.0,True,1.2810540219288882,1.3199875046158236,1.2000221141088014,1.2000221141088014,1.3185117691723613,1.4254941879556051,0.012810540219288874,0.7048942802879627
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5,80.91,235.0,63.0,True,0.5613897961350339,0.4920307242166511,0.447313135780628,0.447313135780628,0.6225761772853184,0.5313587706048466,0.006763732483554624,0.10664059593741348
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35,200.98,86.0,34.0,True,1.1861523879446598,1.2222016432216356,1.1111233967271121,1.1111233967271121,1.22083523158694,1.319892296578446,0.011861523879446594,0.5316273859675422
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9,233.62,55.0,13.0,True,1.6209601306768833,1.4206923469471515,1.2915745245466608,1.2915745245466608,1.7976300400123113,1.534248374597754,0.019529640128637143,0.6986381415660662
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95,280.21,20.0,12.0,True,1.2453182792377695,1.7040159341582968,1.5491486068111455,1.5491486068111455,1.1089081483240333,1.8402180337558283,0.03113295698094424,0.5804089360175014
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0,104.95,189.0,79.0,True,0.6193984133485525,0.6382230194850764,0.5802189296771341,0.5802189296771341,0.6375094912680335,0.6892362251264201,0.006193984133485522,0.12186538368470945
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4,232.39,58.0,14.0,True,1.371529273731016,1.4132124582957304,1.2847744360902256,1.2847744360902256,1.4116324981017463,1.5261706179812173,0.013715292737310151,0.78533226785396
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3,63.58,267.0,74.0,True,0.4411464990516062,0.38664334996532784,0.35150375939849626,0.35150375939849626,0.48922745460141576,0.41754777697511,0.005315018060862724,0.040725343641246914
Adrian Peterson,WAS,RB,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,86.0,2.0,331.0,51.2,293.0,81.0,True,0.35524851763828624,0.31135796662826026,0.2830605926581159,0.2830605926581159,0.3939673745767929,0.3362448282655809,0.004280102622148026,0.008429795867527345
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75,19.04,404.0,39.0,True,0.08461817935365311,0.11578624383988427,0.10526315789473684,0.10526315789473684,0.07534924215441846,0.12504104551126288,0.0021154544838413274,0.0020099039712546674
